window_end,effective_N,analyzed_N,effective_ratio
2023-11-16,4.057340430127461,12,0.3381117025106217
2023-11-17,4.0605490526366905,12,0.3383790877197242
2023-11-20,4.065534310089185,12,0.3387945258407654
2023-11-21,4.065519387444439,12,0.3387932822870366
2023-11-22,4.066048089800911,12,0.3388373408167426
2023-11-24,4.070714306767597,12,0.33922619223063305
2023-11-27,4.068531353221191,12,0.33904427943509924
2023-11-28,4.070130081873325,12,0.3391775068227771
2023-11-29,4.06839462102917,12,0.3390328850857642
2023-11-30,4.072455923873331,12,0.3393713269894443
2023-12-01,4.071619155972225,12,0.3393015963310187
2023-12-04,4.068196326764731,12,0.3390163605637276
2023-12-05,4.06039707955472,12,0.3383664232962267
2023-12-06,4.059545485596736,12,0.33829545713306136
2023-12-07,4.059935412073084,12,0.33832795100609037
2023-12-08,4.063706647918839,12,0.3386422206599033
2023-12-11,4.065561179122607,12,0.33879676492688393
2023-12-12,4.067424320146934,12,0.33895202667891117
2023-12-13,4.067883446372383,12,0.3389902871976986
2023-12-14,4.06940283935626,12,0.33911690327968835
2023-12-15,4.075270606956159,12,0.3396058839130132
2023-12-18,4.074780573204507,12,0.3395650477670422
2023-12-19,4.073322413071302,12,0.3394435344226085
2023-12-20,4.074176774912295,12,0.3395147312426912
2023-12-21,4.079382227757266,12,0.3399485189797722
2023-12-22,4.080488181789989,12,0.3400406818158324
2023-12-27,4.079740276228921,12,0.3399783563524101
2023-12-28,4.076322331017159,12,0.33969352758476323
2023-12-29,4.077706034978991,12,0.33980883624824926
2024-01-02,4.081141813275536,12,0.3400951511062947
2024-01-03,4.080288087601901,12,0.3400240073001584
2024-01-04,4.085695739894034,12,0.34047464499116953
2024-01-05,4.08209783773551,12,0.34017481981129255
2024-01-08,4.0804760695486415,12,0.3400396724623868
2024-01-09,4.080655538375204,12,0.3400546281979337
2024-01-10,4.081356506009395,12,0.3401130421674496
2024-01-11,4.081652529312616,12,0.3401377107760513
2024-01-12,4.081115787195294,12,0.34009298226627455
2024-01-16,4.0864996198392465,12,0.3405416349866039
2024-01-17,4.0727238628327544,12,0.33939365523606285
2024-01-18,4.073982174965869,12,0.33949851458048913
2024-01-19,4.072661247015966,12,0.3393884372513305
2024-01-22,4.070557962176328,12,0.339213163514694
2024-01-23,4.067412042009687,12,0.33895100350080726
2024-01-24,4.061432780678906,12,0.3384527317232422
2024-01-25,4.053417934811478,12,0.3377848279009565
2024-01-26,4.055910671010166,12,0.3379925559175138
2024-01-29,4.066502526305563,12,0.3388752105254636
2024-01-30,4.07864154511877,12,0.33988679542656414
2024-01-31,4.077823773388918,12,0.33981864778240983
2024-02-01,4.079492625731837,12,0.3399577188109864
2024-02-02,4.081482181227829,12,0.34012351510231903
2024-02-05,4.102956406064374,12,0.3419130338386978
2024-02-06,4.067263857652061,12,0.33893865480433844
2024-02-07,4.066654945334882,12,0.3388879121112402
2024-02-08,4.073741006210348,12,0.33947841718419564
2024-02-20,4.075643736445584,12,0.339636978037132
2024-02-21,4.074824741370724,12,0.33956872844756036
2024-02-22,4.070387990082265,12,0.3391989991735221
2024-02-23,4.0793096098308395,12,0.3399424674859033
