asset_1,asset_2,window,status,n_windows,first_window_end,last_window_end,median,p10,p90,min,max,latest
CN_LARGE,CN_DIVIDEND,252,OK,2331.0,2017-01-24,2026-09-01,0.7680891805309747,0.5597013825848542,0.9644624999622331,0.29799223782105405,0.9811074823875112,0.30220401328153074
CN_LARGE,CN_DIVIDEND,756,OK,1827.0,2019-02-22,2026-09-01,0.7347462728135988,0.6214678474922934,0.9545661945006821,0.5991066304547941,0.9684089806679979,0.6084839828507804
CN_GROWTH,SEMI,252,UNAVAILABLE,,,,,,,,,
CN_GROWTH,SEMI,756,UNAVAILABLE,,,,,,,,,
CN_DIVIDEND,COAL,252,OK,2331.0,2017-01-24,2026-09-01,0.7465435848593811,0.5797165933514539,0.874526146941207,0.4225283670514487,0.9025551523793445,0.7739654529031231
CN_DIVIDEND,COAL,756,OK,1827.0,2019-02-22,2026-09-01,0.7473280381372328,0.701135458997447,0.7885748234929711,0.6756014400395196,0.8026025438247191,0.7892503295496512
NASDAQ100,SP500,252,OK,3938.0,2011-01-03,2026-08-31,0.9385325292562414,0.8822515206078355,0.9646828252792264,0.7899608725192229,0.9791678196324201,0.9284614696948219
NASDAQ100,SP500,756,OK,3434.0,2013-01-04,2026-08-31,0.9310776924763188,0.9172957069779206,0.9527984283431026,0.9059931935370164,0.9602713472554938,0.9502374277481584
HSTECH,HK_BROAD,252,OK,1248.0,2021-08-03,2026-09-01,0.9397837452725072,0.8881327996730061,0.9591012136708199,0.7415310242310147,0.9632900980621623,0.9003197482734306
HSTECH,HK_BROAD,756,OK,744.0,2023-08-21,2026-09-01,0.9407442176426637,0.9183959292788254,0.9496936131618589,0.894416217386066,0.9516439402432086,0.9391605510525914
BOND_LONG,BOND_MED,252,UNAVAILABLE,,,,,,,,,
BOND_LONG,BOND_MED,756,UNAVAILABLE,,,,,,,,,
GOLD,HEALTHCARE,252,OK,2102.0,2017-12-28,2026-09-01,-0.07519332799563333,-0.17688586592481229,0.23534803794978573,-0.23648016809822073,0.36965003811296165,0.29636535895051885
GOLD,HEALTHCARE,756,OK,1598.0,2020-02-03,2026-09-01,0.020702791482990403,-0.09412734492447943,0.08030275613068125,-0.15788556704339368,0.13717551889817647,0.1287424493041248
GOLD,COAL,252,OK,2102.0,2017-12-28,2026-09-01,0.043951082072616915,-0.1626204740891884,0.17083175747651838,-0.26641547597475246,0.34663010849996956,0.14593367276319122
GOLD,COAL,756,OK,1598.0,2020-02-03,2026-09-01,0.03888152805091764,-0.04388236757920017,0.08781943485810687,-0.1224406027666147,0.17785140106234534,0.11674098185828943
GOLD,SP500,252,OK,2022.0,2018-01-10,2026-08-31,0.019267117377930958,-0.05829402442494734,0.06245650153054284,-0.1426777197277029,0.15052083066912955,0.07855210057170196
GOLD,SP500,756,OK,1518.0,2020-03-10,2026-08-31,0.011871301989290279,-0.0131599845062608,0.031866353536635715,-0.06059876569237801,0.06727741623947665,0.016332768565355708
GOLD,HSTECH,252,OK,1183.0,2021-08-19,2026-09-01,0.0359314078406282,-0.05842393834505057,0.1603652861715257,-0.09939532649830696,0.27650165994638964,0.25305842623429997
GOLD,HSTECH,756,OK,679.0,2023-10-17,2026-09-01,0.026447574062551164,-0.006511802503094407,0.10063974423914021,-0.01741104893323866,0.12529104012726572,0.1202596777436982
GOLD,NASDAQ100,252,OK,2022.0,2018-01-10,2026-08-31,0.005177267928819788,-0.05745468819771889,0.06624426879722375,-0.13272718468047673,0.12418075535931858,0.04193511867270126
